Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
EU28,2013,ERDF,28381340565.77,0,28381340565.77,62.34
Croatia,2016,ERDF,80078078.46,0,80078078.46,77.41
Czech republic,2014,ERDF,1702366671.84,0,1702366671.84,64.31
Poland,2013,TOTAL,10475714627.6,0,10475714627.6,67.86
Croatia,2014,TOTAL,230140853.91,128440000,101700853.91,45.09
EU28,2014,ERDF,27341778778.3,68520000,27273258778.3,76.58
Croatia,2015,TOTAL,115744085.17,0,115744085.17,58.57
Greece,2015,TOTAL,1981927248.7,0,1981927248.7,98.09
Greece,2015,ERDF,1191002759.31,0,1191002759.31,98.95
Slovenia,2015,ERDF,59830426.04,0,59830426.04,95
Poland,2014,ERDF,5657379630.84,0,5657379630.84,87.93
Germany,2013,TOTAL,4250139440.24,0,4250139440.24,70.82
EU28,2015,CF,10491561469.86,0,10491561469.86,90.24
United Kingdom,2015,TOTAL,1471011110.47,0,1471011110.47,88.01
Greece,2016,ERDF,127063506.01,0,127063506.01,100
Germany,2013,ERDF,2324819734.63,0,2324819734.63,69.08
Czech republic,2013,ERDF,1131557686.4,0,1131557686.4,51.7
Poland,2012,TOTAL,10098196903.32,0,10098196903.32,52.26
Germany,2014,ERDF,2109052082.73,0,2109052082.73,82.18
Czech republic,2015,CF,1621564285.52,0,1621564285.52,80.61
Germany,2015,ERDF,1655039179.14,0,1655039179.14,92.46
Germany,2012,ERDF,2034296615.85,0,2034296615.85,54.64
Czech republic,2014,TOTAL,2911014429.71,0,2911014429.71,63.83
Poland,2015,ERDF,2369807526.46,0,2369807526.46,94.74
Czech republic,2016,CF,1243643872.04,0,1243643872.04,100
Slovenia,2014,TOTAL,771720056.98,0,771720056.98,81.72
Greece,2016,CF,42368475.54,0,42368475.54,100
Czech republic,2015,ERDF,2923469915.27,0,2923469915.27,85.97
Czech republic,2013,CF,1363040475.46,0,1363040475.46,51.45
Germany,2015,TOTAL,2329889666.26,0,2329889666.26,92.47
EU28,2015,TOTAL,40708945105.61,0,40708945105.61,88.92
Slovenia,2015,TOTAL,544627825.47,0,544627825.47,95
Croatia,2015,ERDF,51109673.13,0,51109673.13,58.56
Czech republic,2014,CF,899946865.77,0,899946865.77,61.86
Czech republic,2015,TOTAL,5345567193.2,0,5345567193.2,84.53
Spain,2016,CF,0,0,0,99.87
Croatia,2016,CF,78086567.22,0,78086567.22,95
Netherlands,2016,TOTAL,63524716.91,0,63524716.91,99.62
Netherlands,2016,ERDF,56244250.5,0,56244250.5,100
Austria,2016,ESF,0,0,0,95.5
Portugal,2016,CF,0,0,0,100
Belgium,2016,ESF,26707498.21,0,26707498.21,99.79
Cyprus,2016,ESF,0,0,0,100
Cyprus,2016,CF,18772194.59,0,18772194.59,100
Cyprus,2016,ERDF,0,0,0,100
Czech republic,2016,ERDF,967251437.17,0,967251437.17,96.33
Cyprus,2016,TOTAL,18772194.59,0,18772194.59,100
Sweden,2016,TOTAL,4739848.51,0,4739848.51,98.44
Sweden,2016,ESF,0,0,0,99.08
Germany,2016,ESF,164116542.91,0,164116542.91,97.17
Lithuania,2016,CF,0,0,0,100
Lithuania,2016,ERDF,0,0,0,100
Portugal,2016,TOTAL,4962393.45,0,4962393.45,100.01
Portugal,2016,ERDF,4962393.45,0,4962393.45,100
Latvia,2016,CF,0,0,0,100
Slovakia,2016,TOTAL,1111025925.8,0,1111025925.8,95.02
Slovakia,2016,ERDF,867509677.78,0,867509677.78,95.03
Latvia,2016,TOTAL,0,0,0,100
Latvia,2016,ERDF,0,0,0,100
Austria,2016,TOTAL,21339769.69,0,21339769.69,96.86
Austria,2016,ERDF,21339769.69,0,21339769.69,97.97
Slovenia,2016,CF,0,0,0,100
Slovenia,2016,ERDF,0,0,0,100
France,2016,TOTAL,389799714.21,0,389799714.21,97.55
Bulgaria,2016,ESF,6063573.56,0,6063573.56,99.86
Bulgaria,2016,CF,330874028.01,0,330874028.01,97.36
Ireland,2016,ERDF,15159718.49,0,15159718.49,100
Ireland,2016,TOTAL,37851581.16,0,37851581.16,100
Poland,2016,ERDF,91344710.82,0,91344710.82,100
Poland,2016,TOTAL,91344710.82,0,91344710.82,100
United Kingdom,2016,ERDF,348921369.82,0,348631332.87,97.79
United Kingdom,2016,ESF,342217667.95,0,342217667.95,95.18
United Kingdom,2016,TOTAL,691139037.77,0,690849000.82,96.6
Bulgaria,2016,ERDF,306994494.54,0,306994494.54,96.35
Bulgaria,2016,TOTAL,643932096.11,0,643932096.11,97.33
Finland,2016,ERDF,354020.67,0,354020.67,99.5
Finland,2016,TOTAL,354020.67,0,354020.67,99.69
France,2016,ERDF,264253600.55,0,264253600.55,99.29
Italy,2016,ESF,206580197.01,0,206580197.01,95.46
Italy,2016,TOTAL,3339601759.15,0,3339601759.15,93.2
Belgium,2016,TOTAL,33316102.6,0,33316102.6,99.89
Belgium,2016,ERDF,6608604.39,0,6608604.39,100
EU28,2016,ERDF,11085902267.62,0,11085612230.67,97.81
Spain,2016,ERDF,1613745397.2,0,1613745397.2,99.4
Hungary,2016,ESF,489596665.05,0,489596665.05,99.21
EU28,2016,ESF,3383564799.37,0,3383564799.37,97.67
Hungary,2016,TOTAL,1390975454.79,0,1390975454.79,98.73
EU28,2016,TOTAL,17608319256.49,0,17608029219.54,97.85
EU28,2013,TOTAL,52204376960.29,0,52204376960.29,62.04
EU28,2012,TOTAL,44034545493.44,0,44034545493.44,46.6
Lithuania,2010,TOTAL,871817945.1,87236983.94,784580961.16,34.14
EU28,2010,TOTAL,32158053650.49,768875558.68,31389178091.81,22.21
EU28,2008,TOTAL,11201850463.15,11083647378.69,118203084.46,5.28
Lithuania,2013,ESF,176983235.2,0,176983235.2,78.85
EU28,2007,ESF,1513921430.28,1513921430.28,0,1.98
EU28,2014,TOTAL,50103155431.03,128440000,49974715431.03,76.87
Lithuania,2014,TOTAL,1013149471.75,0,1013149471.75,93.73
Lithuania,2010,ESF,181391089.22,41132269.08,140258820.14,30.16
EU28,2013,ESF,12645118677.03,0,12645118677.03,66.15
Lithuania,2012,TOTAL,1013987422.91,0,1013987422.91,62.94
EU28,2010,ESF,6734850731.85,371348557.68,6363502174.17,23.09
EU28,2009,ESF,7006821306.98,2303327442.8,4703493864.18,14.26
Lithuania,2007,TOTAL,147036035.18,147036035.18,0,2.17
EU28,2012,ESF,10711517916.05,0,10711517916.05,49.59
EU28,2009,TOTAL,25045801293.11,11016932510.16,14028868782.95,12.69
EU28,2007,TOTAL,6644315933.22,6644315933.22,0,1.97
Lithuania,2016,TOTAL,0,0,0,99.99
Lithuania,2007,ESF,20566134.54,20566134.54,0,2
Lithuania,2009,ESF,77309826.92,41132269.08,36177557.84,12.52
EU28,2011,ESF,9519963975.27,0,9519963975.27,35.56
EU28,2008,ESF,2368158234.32,2275775106.97,92383127.35,5.09
Lithuania,2012,ESF,147386035.19,0,147386035.19,61.64
Lithuania,2011,ESF,176335363.94,0,176335363.94,47.31
Lithuania,2008,ESF,30849201.81,30849201.81,0,5
Lithuania,2014,ESF,166070503.83,0,166070503.83,95
EU28,2011,TOTAL,38378462156.96,6705000,38371757156.96,33.57
Lithuania,2008,TOTAL,226317142.12,226317142.12,0,5.51
Lithuania,2011,TOTAL,937791104.82,0,937791104.82,47.98
Lithuania,2013,TOTAL,1072505655.8,0,1072505655.8,78.77
Lithuania,2016,ESF,0,0,0,99.93
EU28,2014,ESF,9944484942.93,0,9944484942.93,79.18
Lithuania,2009,TOTAL,1067875085.83,271019712.92,796855372.91,21.27
Slovenia,2016,ESF,0,0,0,100
Croatia,2016,ESF,31614612.4,0,31614612.4,68.67
Croatia,2016,TOTAL,189779258.08,0,189779258.08,81.62
Slovenia,2016,TOTAL,0,0,0,100
Italy,2016,ERDF,3133021562.14,0,3133021562.14,92.46
Germany,2016,ERDF,383090876.23,0,383090876.23,97.48
Germany,2016,TOTAL,547207419.14,0,547207419.14,97.37
EU28,2016,CF,3138852189.5,0,3138852189.5,98.19
Hungary,2016,ERDF,733557245.99,0,733557245.99,99.66
Spain,2016,ESF,851737309.14,0,851737309.14,99.79
Czech republic,2016,ESF,239621386.94,0,239621386.94,98.06
Spain,2016,TOTAL,2465482706.34,0,2465482706.34,99.54
Czech republic,2016,TOTAL,2450516696.15,0,2450516696.15,97.81
Hungary,2016,CF,167821543.75,0,167821543.75,97.1
