Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Cyprus,2013,ESF,25291793.77,0,25291793.77,63.95
Belgium,2011,ERDF,48983726.45,0,48983726.45,31.99
Hungary,2008,ESF,110453292.08,108872656.53,1580635.55,5.07
Denmark,2007,ESF,5095772.38,5095772.38,0,2
Malta,2014,CF,59318109.75,0,59318109.75,72.95
Portugal,2008,TOTAL,648236929.55,644068574.12,4168355.43,5.02
Luxembourg,2007,ESF,504873.32,504873.32,0,2
Sweden,2011,TOTAL,318545283.39,0,318545283.39,46.52
Bulgaria,2010,ERDF,349178712.25,0,349178712.25,20.36
Spain,2011,TOTAL,4902281444.09,0,4902281444.09,36.67
Austria,2013,TOTAL,178944916.32,0,178944916.32,69.03
Belgium,2011,TOTAL,186195430.3,0,186195430.3,32.24
Romania,2008,ERDF,269293981.98,269293981.98,0,5.07
Czech republic,2009,ESF,152296962.72,150980857.12,1316105.6,9.29
Portugal,2012,ESF,1110206178.91,0,1110206178.91,65.57
Czech republic,2012,ERDF,1399293712.62,0,1399293712.62,43.32
United Kingdom,2011,ERDF,681586900.19,0,681586900.19,37.36
Luxembourg,2008,TOTAL,2019493.28,2019493.28,0,5
Austria,2015,ESF,0,0,0,95
Cyprus,2007,ESF,2395383.08,2395383.08,0,2
Bulgaria,2010,CF,5055639.93,0,5055639.93,10.72
Spain,2010,CF,1310967640.12,0,1310967640.12,44.5
Spain,2010,ESF,361342826.45,0,361342826.45,17.96
Croatia,2009,CF,55228.5,0,55228.5,5.73
Portugal,2013,ERDF,2122226434.01,0,2122226434.01,77.89
Romania,2011,CF,98796785.46,0,98796785.46,15.37
Portugal,2012,CF,735654557.05,0,735654557.05,43.89
Poland,2007,ERDF,652250319.04,652250319.04,0,1.87
Denmark,2015,TOTAL,72393234.88,0,72393234.88,95
Latvia,2015,ESF,0,0,0,95
Slovenia,2011,TOTAL,500611923.98,0,500611923.98,37.01
Greece,2013,ESF,859912837.58,0,859912837.58,59.54
Romania,2014,TOTAL,3536806630.61,0,3536806630.61,57.14
Czech republic,2012,CF,1411742785.66,0,1411742785.66,35.68
Ireland,2007,ESF,7507247.4,7507247.4,0,2
Hungary,2015,ESF,18414110.91,0,18414110.91,81.45
Hungary,2010,ERDF,1183232328.17,0,1183232328.17,22.59
Malta,2011,CF,27096878.01,0,27096878.01,31.49
Greece,2008,CF,110914825.92,110914825.92,0,5
Portugal,2007,ERDF,235062383.68,235062383.68,0,2.04
Romania,2013,CF,962513420.14,0,962513420.14,36.68
Malta,2007,CF,7103625.5,7103625.5,0,2.5
Czech republic,2010,ERDF,1348324362.8,0,1348324362.8,22.45
Romania,2015,ERDF,952048770.01,0,952048770.01,69.01
Lithuania,2007,ERDF,68839007.06,68839007.06,0,2
Sweden,2009,ERDF,117885911.68,23363518.27,94522393.41,17.61
Slovakia,2008,ERDF,178868346.93,178868346.93,0,4.89
Portugal,2013,ESF,1194849756.64,0,1194849756.64,83
Hungary,2013,CF,1451917583.78,0,1451917583.78,51.38
Croatia,2012,TOTAL,25411525.21,0,25411525.21,10.33
Luxembourg,2015,ESF,3048626.03,0,3048626.03,95
Latvia,2007,ERDF,48800347.28,48800347.28,0,2.03
Slovakia,2013,ESF,123215580.43,0,123215580.43,48.55
Czech republic,2008,ERDF,508037267.21,508037267.21,0,5.08
Estonia,2015,ESF,0,0,0,95
United Kingdom,2013,ESF,271872420.7,0,271872420.7,63.05
Luxembourg,2010,ERDF,2559460.58,0,2559460.58,17.64
Netherlands,2009,TOTAL,55272701.05,41500068.43,13772632.62,8.33
Greece,2014,CF,580210011.25,0,580210011.25,89.89
Netherlands,2015,ERDF,35372575.38,0,35372575.38,88.22
Belgium,2012,ERDF,155877181.56,0,155877181.56,47.79
Sweden,2014,ESF,211251255.05,0,211251255.05,89.92
Slovakia,2011,CF,122328099.92,0,122328099.92,24.01
Ireland,2015,TOTAL,76740851.73,0,76740851.73,89.96
Slovakia,2014,ESF,312164536.23,0,312164536.23,69.59
Ireland,2014,ESF,24148177.84,0,24148177.84,76.42
EU28,2010,ERDF,19849431038.89,0,19849431038.89,22.52
France,2014,ERDF,1391386917.35,0,1391386917.35,77.38
Estonia,2010,TOTAL,527916864.35,38695322.08,489221542.27,34.96
Slovakia,2007,TOTAL,246706091.82,246706091.82,0,2.15
Romania,2012,TOTAL,1137662486.99,0,1137662486.99,22.95
Spain,2007,ESF,161146576.44,161146576.44,0,2.03
Slovenia,2015,ESF,50663914.86,0,50663914.86,95
Italy,2015,ERDF,3659180590.79,0,3659180590.79,76.05
Denmark,2015,ERDF,36325982.13,0,36325982.13,95
Netherlands,2012,ERDF,71282110.47,0,71282110.47,48.56
Hungary,2012,CF,407223371.06,0,407223371.06,33.91
Netherlands,2013,ERDF,144282671.44,0,144282671.44,65.94
Italy,2014,ERDF,2697016561.06,0,2697016561.06,58.61
Croatia,2013,ESF,0,0,0,0
Romania,2013,ERDF,1210601475.1,0,1210601475.1,37.19
Slovenia,2011,CF,40367297.94,0,40367297.94,26.64
France,2011,TOTAL,1478529694.12,0,1478529694.12,34.53
Germany,2014,ESF,1073068594.03,0,1073068594.03,85.29
Sweden,2015,ERDF,43279600.1,0,43279600.1,94.49
Estonia,2008,TOTAL,113621110.89,113621110.89,0,5.51
Latvia,2011,CF,130700037.31,0,130700037.31,32.14
Latvia,2008,CF,61591062.12,61591062.12,0,6.5
Spain,2008,ERDF,691715764.53,691715764.53,0,5
Bulgaria,2012,ERDF,389640582.7,0,389640582.7,38.62
Finland,2014,TOTAL,215151242.7,0,215151242.7,89.18
Netherlands,2007,TOTAL,33200054.74,33200054.74,0,2
Romania,2010,ERDF,159273823.38,0,159273823.38,12.04
Estonia,2010,CF,109672035.62,23034628.92,86637406.7,23.58
Czech republic,2008,CF,458145519.71,458145519.71,0,6.63
Cyprus,2015,ESF,5486663.44,0,5486663.44,95
Netherlands,2009,ESF,24073223.73,20750068.43,3323155.3,7.9
Poland,2011,ESF,1631890909.71,0,1631890909.71,40.22
Belgium,2009,TOTAL,269483008.26,51587519.18,217895489.08,18.1
Ireland,2007,ERDF,7507247.44,7507247.44,0,2
Belgium,2014,ERDF,221290008.61,0,221290008.61,88.1
Portugal,2009,ESF,1007999198.68,162809696.63,845189502.05,19.52
Spain,2009,ERDF,1196106517.44,576429803.84,619676713.6,10.19
Slovakia,2009,TOTAL,520811448.84,454424798,66386650.84,9.99
Austria,2008,TOTAL,36134357.43,36134357.43,0,5.15
United Kingdom,2012,ESF,731392978.57,0,731392978.57,57
Denmark,2009,TOTAL,33350963.73,12739430.98,20611532.75,11.54
Denmark,2008,ERDF,7643658.6,7643658.6,0,5
Slovakia,2010,ESF,46960973.71,0,46960973.71,14.05
Malta,2012,ERDF,49445259.41,0,49445259.41,36.83
Sweden,2012,ESF,0,0,0,44.75
Czech republic,2010,TOTAL,2102739716.66,0,2102739716.66,20.43
Estonia,2016,CF,0,0,0,95
Portugal,2009,ERDF,556868918,295980178.07,260888739.93,9.99
Belgium,2013,TOTAL,404989907.96,0,404989907.96,68.89
Spain,2008,TOTAL,1039732019.43,1039732019.43,0,5.02
Cyprus,2009,ERDF,40211490.11,11178454.16,29033035.95,19.39
Romania,2008,TOTAL,641915331.62,641915331.62,0,5.64
Poland,2011,CF,2544422783.42,0,2544422783.42,30.82
Hungary,2013,TOTAL,3703189970.83,0,3703189970.83,59.01
Greece,2013,CF,1041441479.6,0,1041441479.6,74.2
Malta,2013,ERDF,49169981.44,0,49169981.44,47.9
Germany,2010,ESF,1128141449.1,0,1128141449.1,29.41
United Kingdom,2011,TOTAL,1099562658.7,0,1099562658.7,38.88
Slovenia,2011,ERDF,389506488.08,0,389506488.08,46.28
Belgium,2011,ESF,137211703.85,0,137211703.85,32.47
Netherlands,2014,ESF,129106356.18,0,129106356.18,77.31
Italy,2010,ESF,335633162.55,0,335633162.55,18.93
Cyprus,2010,TOTAL,66931268.34,0,66931268.34,26.17
Sweden,2009,ESF,63501244.62,17288778.95,46212465.67,14.18
Bulgaria,2012,ESF,136031899.46,0,136031899.46,31.61
Netherlands,2011,ERDF,176762236.13,0,176762236.13,39.97
Latvia,2010,CF,167532395.27,30795531.06,136736864.21,23.65
Romania,2009,CF,302671779.34,262096921.12,40574858.22,11.17
Luxembourg,2009,ERDF,631091.65,631091.65,0,7.5
Hungary,2012,ERDF,1399841573.11,0,1399841573.11,50.48
Poland,2007,TOTAL,1400802683.39,1400802683.39,0,2.08
